ID,logFC,P.Value
ILMN_1728572,-0.91237625,0.0067799
ILMN_1729225,1.29857781,0.0068375
ILMN_2339835,0.79226068,0.0068402
ILMN_1800889,-0.79675691,0.0068757
ILMN_1727815,-0.67144875,0.0069145
ILMN_1779558,0.6813793,0.0069148
ILMN_1732452,-1.24540885,0.0069315
ILMN_1695404,-1.16497579,0.0069389
ILMN_1801766,-1.77113449,0.0070212
ILMN_3208014,-0.66436543,0.0070287
ILMN_1800697,-2.29631044,0.0071447
ILMN_1745213,0.74075194,0.0071676
ILMN_2284794,-0.64939669,0.0071923
ILMN_1730816,-1.64504021,0.0072304
ILMN_1656910,-1.12079002,0.007248
ILMN_1813544,-0.75718508,0.0073453
ILMN_3221721,0.74074525,0.0073561
ILMN_1779965,-0.82950599,0.0073688
ILMN_2343563,-0.65115377,0.0073798
ILMN_1773395,-1.54415607,0.0073854
ILMN_1693726,0.71323833,0.0074211
ILMN_2370573,-0.93164054,0.0074223
ILMN_2350315,0.65578197,0.0074327
ILMN_3238137,-0.9906003,0.0074536
ILMN_1681032,0.6464355,0.0074537
ILMN_2093720,-1.10501703,0.0075631
ILMN_1809101,1.56944121,0.0075771
ILMN_1713162,-0.76473225,0.0075775
ILMN_3286389,0.61081731,0.0075895
ILMN_1652185,-0.84876105,0.00759
ILMN_2183938,0.58888268,0.0075926
ILMN_2183784,0.78508677,0.0075972
ILMN_1795342,-1.88632491,0.0076059
ILMN_1655684,-0.59601555,0.0076371
ILMN_1678403,0.8826152,0.007638
ILMN_1799996,-0.59489257,0.0077139
ILMN_3244457,-0.81833277,0.0077262
ILMN_1697409,-1.96497737,0.0078027
ILMN_1804629,-1.04356106,0.0078076
ILMN_1717717,-0.63879701,0.0078583
ILMN_1655405,0.67316328,0.0078835
ILMN_1860638,0.77093934,0.0078855
ILMN_2411897,1.03076848,0.0079176
ILMN_2285708,0.64620201,0.0079329
ILMN_1727790,-1.2144922,0.0079446
ILMN_1683682,-0.99457745,0.0079593
ILMN_1723625,-0.68280056,0.0079721
ILMN_1691731,-1.22478941,0.0079888
ILMN_3218721,0.62102309,0.008032
ILMN_1693650,-1.21475704,0.0080366
ILMN_1718770,-0.77784009,0.0080445
ILMN_1677963,0.62982264,0.0080748
ILMN_1687202,-0.58799418,0.0080987
ILMN_3240781,-0.60219817,0.0081168
ILMN_1747546,1.03617172,0.0081498
ILMN_1721657,-0.77895153,0.0082001
ILMN_1784661,1.06029384,0.0082251
